Date,Close/Last,Volume,Open,High,Low
03/31/2020,26.35,"40,333",26.46,27.91,25.7
03/30/2020,22.76,"5,745",24,23.06,21.69
03/27/2020,24.93,"21,201",26.71,27,24.17
03/26/2020,26.34,"24,090",27.59,27.67,26.04
03/25/2020,27.39,"24,748",27.6,28.28,25.73
03/24/2020,27.15,"27,959",27.64,28.64,26.69
03/23/2020,27.03,"30,457",26.5,27.52,24.68
03/20/2020,26.98,"51,408",28,30.93,26.79
03/19/2020,28.47,"41,004",26.44,29.38,24.98
03/18/2020,24.88,"46,551",28.66,29.19,24.51
03/17/2020,28.73,"32,080",29.7,31.22,28.46
03/16/2020,30.05,"42,843",29.57,31.27,29.47
03/13/2020,33.85,"49,603",32.86,35.99,32.17
03/12/2020,33.22,"66,611",36.13,36.53,32.48
03/11/2020,35.79,"59,919",37.8,36.1,35.49
03/10/2020,37.22,"66,431",33.46,38.21,33.44
03/09/2020,34.36,"75,418",39.24,39.24,31.25
03/06/2020,45.27,"68,455",50.12,49.68,45.16
03/05/2020,49.99,"38,582",51.96,52.01,49.7
03/04/2020,51.13,"39,131",51.73,53.03,51.04
03/03/2020,51.86,"41,465",52.98,53.87,51.24
03/02/2020,51.9,"46,064",49.04,52.78,48.38
02/28/2020,50.52,"1,149",51.37,51.49,50.12
02/27/2020,52.18,"7,441",52.79,53.12,51.05
02/26/2020,53.43,"25,129",55.08,53.44,53.34
02/25/2020,54.95,"25,874",55.14,55.18,54.61
02/24/2020,56.3,"26,796",58.02,56.36,56
02/21/2020,58.5,"35,606",59.16,59.27,57.74
02/20/2020,59.31,"32,650",59.34,60.02,58.9
02/19/2020,59.12,"35,452",57.7,59.41,57.54
02/18/2020,57.75,"46,485",57.54,57.82,56.29
02/14/2020,57.32,"40,762",56.4,57.53,56.16
02/13/2020,56.34,"48,127",56.34,56.83,54.97
02/12/2020,55.79,"42,664",54.18,56.3,54.18
02/11/2020,54.01,"35,703",53.35,54.66,53.35
02/10/2020,53.27,"35,455",54.24,54.7,53.11
02/07/2020,54.47,"43,021",55.36,55.47,54.21
02/06/2020,54.93,"49,497",55.57,56.56,54.24
02/05/2020,55.28,"54,972",53.88,56.47,53.88
02/04/2020,53.96,"51,878",54.15,55.64,53.69
02/03/2020,54.45,"65,537",55.85,56.76,54.07
01/31/2020,58.16,573,59.07,59.53,57.98
01/30/2020,58.29,"9,426",59.61,59.61,57.73
01/29/2020,59.81,"19,776",59.67,60.61,59.25
01/28/2020,59.51,"39,174",58.95,60.11,58.5
01/27/2020,59.32,"37,086",60.28,60.49,58.5
01/24/2020,60.69,"32,842",60.73,60.86,60.62
01/23/2020,62.04,"40,984",62.63,62.78,61.25
01/22/2020,63.21,"34,046",63.17,63.47,62.53
01/21/2020,64.59,"49,011",65.3,66,64.06
01/17/2020,64.85,"34,060",64.75,65.14,64.49
01/16/2020,64.62,"36,606",64.31,64.96,63.92
01/15/2020,64,"33,681",64.46,64.61,63.55
01/14/2020,64.49,"34,006",64.22,65.04,63.91
01/13/2020,64.2,"34,898",65.18,65.25,63.92
01/10/2020,64.98,"45,308",65.41,65.66,64.86
01/09/2020,65.37,"49,531",65.79,66.09,64.55
01/08/2020,65.44,"83,539",68.47,66.31,65.68
01/07/2020,68.27,"40,677",68.58,68.74,67.65
01/06/2020,68.91,"51,077",69.07,70.72,68.19
01/03/2020,68.6,"76,623",66.29,69.48,66.22
01/02/2020,66.25,"25,300",66.47,66.57,65.73
12/31/2019,66,"30,166",66.68,66.92,65.64
12/30/2019,68.44,"2,269",68.21,68.91,68.18
12/27/2019,68.16,"6,667",67.92,68.29,67.58
12/26/2019,67.92,"10,101",67.37,67.95,67.19
12/24/2019,67.2,"16,842",66.51,67.25,66.37
12/23/2019,66.39,"19,990",66.21,66.6,65.81
12/20/2019,66.14,"31,172",66.52,66.71,65.73
12/19/2019,66.54,"27,484",66.12,66.78,66.04
12/18/2019,66.17,"30,914",65.83,66.42,65.57
12/17/2019,66.1,"33,438",65.37,66.23,65.12
12/16/2019,65.34,"30,341",64.98,65.65,64.88
12/13/2019,65.22,"33,913",64.41,65.78,64.39
12/12/2019,64.2,"32,566",63.89,64.57,64.3
12/11/2019,63.72,"30,836",64.16,63.9,63.79
12/10/2019,64.34,"30,819",64,64.68,63.77
12/09/2019,64.25,"30,310",64.4,64.5,63.61
12/06/2019,64.39,"41,683",63.29,64.86,62.83
12/05/2019,63.39,"37,069",63.05,63.9,62.75
12/04/2019,63,"40,515",61.16,63.53,60.99
12/03/2019,60.82,"31,827",60.91,61.59,60.3
12/02/2019,60.92,"37,632",60.8,62.08,60.5
11/29/2019,62.43,"2,968",63.87,64.04,62.4
11/27/2019,64.06,"12,361",64.14,64.6,63.53
11/26/2019,64.27,"19,406",63.51,64.31,63.45
11/25/2019,63.65,"24,092",63.46,63.79,62.96
11/22/2019,63.39,"30,521",63.67,64.3,62.99
11/21/2019,63.97,"32,667",62.44,64.03,61.93
11/20/2019,62.4,"37,744",60.74,62.8,60.3
11/19/2019,60.91,"30,852",62.33,62.55,60.63
11/18/2019,62.44,"27,766",63.3,63.58,61.94
11/15/2019,63.3,"30,329",63.41,63.5,63.24
11/14/2019,62.28,"26,971",62.55,63.2,62.14
11/13/2019,62.37,"32,610",61.97,62.71,62.43
11/12/2019,62.06,"29,716",62.17,62.85,61.8
11/11/2019,62.18,"22,835",62.51,62.75,61.58
11/08/2019,62.51,1,62.51,62.51,62.51
11/07/2019,62.29,"31,721",61.78,62.36,62.06
11/06/2019,61.74,"34,345",61.78,61.98,61.68
11/05/2019,62.96,"26,787",62.06,63.17,61.9
11/04/2019,62.13,"28,320",62,62.78,61.29
11/01/2019,61.69,"27,821",59.55,61.81,59.4
10/31/2019,60.23,911,60.69,61.03,60.07
10/30/2019,60.61,"8,203",61.31,61.91,60.47
10/29/2019,61.59,"14,804",61.65,61.98,60.67
10/28/2019,61.57,"22,277",61.99,62.34,61.2
10/25/2019,62.02,"28,529",61.52,62.08,61.93
10/24/2019,61.67,"31,927",61.09,61.91,60.66
10/23/2019,61.17,"35,245",59.63,61.3,58.85
10/22/2019,59.7,"32,762",59.05,60.26,58.77
10/21/2019,58.96,"33,900",59.36,59.54,58.26
10/18/2019,59.42,"32,258",59.88,60.27,59
10/17/2019,59.91,"43,888",59.1,60.03,58.64
10/16/2019,59.42,"41,204",58.76,59.73,58.35
10/15/2019,58.74,"48,761",59.29,59.68,58
10/14/2019,59.35,"37,789",60.56,60.75,58.51
10/11/2019,60.51,"50,840",59.58,60.69,59.21
10/10/2019,59.1,"35,156",58.39,59.53,57.11
10/09/2019,58.32,"35,380",58.24,58.36,58.19
10/08/2019,58.24,"37,987",58.47,58.93,57.37
10/07/2019,58.35,"28,243",58.28,58.58,58.22
10/04/2019,58.37,"41,166",57.6,58.95,57.6
10/03/2019,57.71,"46,326",57.5,57.99,56.15
10/02/2019,57.69,"39,598",59.22,59.49,57.23
10/01/2019,58.89,"39,983",59.53,60.09,58.41
09/30/2019,60.78,801,61.88,62.08,60.77
09/27/2019,61.91,"6,930",62.53,62.72,60.77
09/26/2019,62.74,"10,186",62.58,62.92,61.46
09/25/2019,62.39,"22,920",62.43,62.81,61.22
09/24/2019,63.1,"26,817",64.48,64.53,62.35
09/23/2019,64.77,"22,643",65.32,65.32,63.54
09/20/2019,64.28,"21,494",64.98,65.27,64.05
09/19/2019,64.4,"35,586",63.65,65.57,63.47
09/18/2019,63.6,"36,559",64.25,63.69,63.45
09/17/2019,64.55,"86,039",66.76,66.78,63.56
09/16/2019,69.02,"67,806",68.57,69.67,67.58
09/13/2019,60.22,"25,712",60.41,60.8,59.6
09/12/2019,60.38,"44,041",61.03,61.39,58.91
09/11/2019,60.81,"36,364",62.68,63.25,60.52
09/10/2019,62.38,"31,529",62.74,63.77,62.17
09/09/2019,62.59,"30,493",61.54,62.99,61.54
09/06/2019,61.54,"35,099",60.81,61.88,59.41
09/05/2019,60.95,"36,766",60.51,62.39,60.25
09/04/2019,60.7,"35,248",58.24,60.96,58.09
09/03/2019,58.26,"48,849",58.68,59.22,57.22
08/30/2019,60.37,549,61.03,61.14,60.3
08/29/2019,61.08,"5,720",60.49,61.18,60.01
08/28/2019,60.49,"15,019",60.14,61.05,59.82
08/27/2019,59.51,"27,976",58.71,60.14,58.51
08/26/2019,58.7,"24,570",58.4,60.17,58.27
08/23/2019,59.34,"40,095",60.04,60.28,58.32
08/22/2019,59.92,"31,426",60.42,60.89,59.47
08/21/2019,60.3,"31,355",60.06,61.41,60.05
08/20/2019,60.03,"29,269",59.74,60.32,58.96
08/19/2019,59.74,"29,626",58.63,59.92,58.59
08/16/2019,58.64,"24,508",58.42,59.5,58.29
08/15/2019,58.23,"44,032",59.05,59.42,57.69
08/14/2019,59.48,"42,291",60.98,61.08,58.23
08/13/2019,61.3,"44,444",58.4,61.5,57.98
08/12/2019,58.57,"29,973",58.36,58.87,57.88
08/09/2019,58.53,"32,688",57.65,59.1,57.12
08/08/2019,57.38,"36,552",57.37,58.01,56.77
08/07/2019,56.23,"51,688",58.56,59.19,55.88
08/06/2019,58.94,"33,052",60,60.54,58.57
08/05/2019,59.81,"45,081",61.55,61.55,59.67
08/02/2019,61.89,"45,978",61.1,62.93,60.89
08/01/2019,60.5,"59,354",64.29,64.52,60.03
07/31/2019,65.17,593,64.61,65.36,64.54
07/30/2019,64.72,"7,963",63.85,65.04,63.85
07/29/2019,63.71,"12,484",63.12,63.91,62.91
07/26/2019,63.46,"25,420",63.24,63.96,63.02
07/25/2019,63.39,"26,183",63.15,64.23,63.03
07/24/2019,63.18,"40,154",64.24,64.66,62.59
07/23/2019,63.83,"30,227",63.29,64.45,62.66
07/22/2019,63.26,"32,971",62.91,64.02,62.77
07/19/2019,62.47,"35,595",62.58,63.34,61.84
07/18/2019,61.93,"48,107",63.63,64.46,61.29
07/17/2019,63.66,"33,378",64.33,65.28,63.23
07/16/2019,64.35,"40,089",66.13,67.08,63.85
07/15/2019,66.48,"34,524",66.65,67.46,66.07
07/12/2019,66.72,"31,142",66.78,67.27,66.51
07/11/2019,66.52,"36,938",66.72,67.64,66.44
07/10/2019,67.01,"40,176",64.49,67.13,64.49
07/09/2019,64.16,"27,987",63.92,65.02,63.74
